"Day","Number of animals","Number of grass fields","Most popular genom","Average energy level","Average child count","Average dead animal age","Number of animals ever lived"
"1","10","20","[W, N, SE, W, W]","50.0","0.0","0.0","10"
"2","10","25","[W, N, SE, W, W]","49.0","0.0","0.0","10"
"3","10","29","[W, N, SE, W, W]","49.0","0.0","0.0","10"
"4","10","34","[W, N, SE, W, W]","48.0","0.0","0.0","10"
"5","10","39","[W, N, SE, W, W]","47.0","0.0","0.0","10"
"6","10","43","[W, N, SE, W, W]","47.0","0.0","0.0","10"
"7","10","47","[W, N, SE, W, W]","47.0","0.0","0.0","10"
"8","10","52","[W, N, SE, W, W]","46.0","0.0","0.0","10"
"9","10","57","[W, N, SE, W, W]","45.0","0.0","0.0","10"
"10","10","62","[W, N, SE, W, W]","44.0","0.0","0.0","10"
"11","10","67","[W, N, SE, W, W]","43.0","0.0","0.0","10"
"12","10","72","[W, N, SE, W, W]","42.0","0.0","0.0","10"
"13","11","77","[NW, SW, W, NW, S]","37.27","0.18","0.0","11"
"14","11","81","[NW, SW, W, NW, S]","37.18","0.18","0.0","11"
"15","12","86","[NW, SW, W, NW, S]","33.17","0.33","0.0","12"
"16","12","90","[NW, SW, W, NW, S]","33.0","0.33","0.0","12"
"17","12","94","[NW, SW, W, NW, S]","32.83","0.33","0.0","12"
"18","12","99","[NW, SW, W, NW, S]","31.83","0.33","0.0","12"
"19","12","102","[NW, SW, W, NW, S]","32.5","0.33","0.0","12"
"20","12","106","[NW, SW, W, NW, S]","32.33","0.33","0.0","12"
"21","12","111","[NW, SW, W, NW, S]","31.33","0.33","0.0","12"
"22","12","114","[NW, SW, W, NW, S]","32.0","0.33","0.0","12"
"23","12","119","[NW, SW, W, NW, S]","31.0","0.33","0.0","12"
"24","11","123","[W, N, SE, W, W]","33.73","0.36","11.0","12"
"25","11","127","[W, N, SE, W, W]","33.64","0.36","11.0","12"
"26","10","131","[W, N, SE, W, W]","37.0","0.4","11.0","12"
"27","10","134","[W, N, SE, W, W]","38.0","0.4","11.0","12"
"28","10","139","[W, N, SE, W, W]","37.0","0.4","11.0","12"
"29","10","144","[W, N, SE, W, W]","36.0","0.4","11.0","12"
"30","10","148","[W, N, SE, W, W]","36.0","0.4","11.0","12"
"31","10","152","[W, N, SE, W, W]","36.0","0.4","11.0","12"
"32","10","156","[W, N, SE, W, W]","36.0","0.4","11.0","12"
"33","10","161","[W, N, SE, W, W]","35.0","0.4","11.0","12"
"34","11","165","[W, N, SE, W, W]","31.82","0.55","11.0","13"
"35","11","169","[W, N, SE, W, W]","31.73","0.55","11.0","13"
"36","11","173","[W, N, SE, W, W]","31.64","0.55","11.0","13"
"37","11","177","[W, N, SE, W, W]","31.55","0.55","11.0","13"
"38","11","181","[W, N, SE, W, W]","31.45","0.55","11.0","13"
"39","11","185","[W, N, SE, W, W]","31.36","0.55","11.0","13"
"40","11","186","[W, N, SE, W, W]","30.36","0.55","11.0","13"
"41","11","186","[W, N, SE, W, W]","30.27","0.55","11.0","13"
"42","11","184","[W, N, SE, W, W]","32.91","0.55","11.0","13"
"43","11","185","[W, N, SE, W, W]","32.82","0.55","11.0","13"
"44","11","187","[W, N, SE, W, W]","32.73","0.55","11.0","13"
"45","10","186","[W, N, SE, W, W]","37.0","0.6","11.0","13"
"46","10","188","[W, N, SE, W, W]","37.0","0.6","11.0","13"
"47","9","189","[W, N, SE, W, W]","41.22","0.56","19.5","13"
"48","9","189","[W, N, SE, W, W]","41.33","0.56","19.5","13"
"49","9","188","[W, N, SE, W, W]","41.44","0.56","19.5","13"
"50","9","189","[W, N, SE, W, W]","41.56","0.56","19.5","13"
"51","9","190","[W, N, SE, W, W]","41.67","0.56","19.5","13"
"52","8","190","[W, N, SE, W, W]","47.13","0.63","25.6","13"
"53","8","192","[W, N, SE, W, W]","47.38","0.63","25.6","13"
"54","8","192","[W, N, SE, W, W]","46.38","0.63","25.6","13"
"55","8","193","[W, N, SE, W, W]","45.38","0.63","25.6","13"
"56","8","193","[W, N, SE, W, W]","44.38","0.63","25.6","13"
"57","7","193","[W, N, SE, W, W]","49.71","0.57","30.5","13"
"58","7","194","[W, N, SE, W, W]","48.71","0.57","30.5","13"
"59","7","194","[W, N, SE, W, W]","49.14","0.57","30.5","13"
"60","7","195","[W, N, SE, W, W]","49.57","0.57","30.5","13"
"61","7","195","[W, N, SE, W, W]","48.57","0.57","30.5","13"
"62","5","195","[W, N, SE, W, W]","69.0","0.8","37.88","13"
"63","5","196","[W, N, SE, W, W]","68.0","0.8","37.88","13"
"64","5","199","[W, N, SE, W, W]","69.0","0.8","37.88","13"
"65","5","200","[W, N, SE, W, W]","70.0","0.8","37.88","13"
"66","5","201","[W, N, SE, W, W]","69.0","0.8","37.88","13"
"67","5","202","[W, N, SE, W, W]","70.0","0.8","37.88","13"
"68","5","206","[W, N, SE, W, W]","69.0","0.8","37.88","13"
"69","5","209","[W, N, SE, W, W]","68.0","0.8","37.88","13"
"70","5","212","[W, N, SE, W, W]","67.0","0.8","37.88","13"
"71","5","211","[W, N, SE, W, W]","68.0","0.8","37.88","13"
"72","4","212","[W, N, SE, W, W]","84.0","1.0","41.44","13"
"73","4","211","[W, N, SE, W, W]","85.5","1.0","41.44","13"
"74","4","212","[W, N, SE, W, W]","89.5","1.0","41.44","13"
"75","4","213","[W, N, SE, W, W]","91.0","1.0","41.44","13"
"76","4","212","[W, N, SE, W, W]","92.5","1.0","41.44","13"
"77","4","213","[W, N, SE, W, W]","94.0","1.0","41.44","13"
"78","4","213","[W, N, SE, W, W]","93.0","1.0","41.44","13"
"79","4","213","[W, N, SE, W, W]","92.0","1.0","41.44","13"
"80","4","214","[W, N, SE, W, W]","91.0","1.0","41.44","13"
"81","4","216","[W, N, SE, W, W]","90.0","1.0","41.44","13"
"82","3","218","[W, N, SE, W, W]","119.0","0.67","45.3","13"
"83","3","220","[W, N, SE, W, W]","118.0","0.67","45.3","13"
"84","3","222","[W, N, SE, W, W]","117.0","0.67","45.3","13"
"85","3","222","[W, N, SE, W, W]","119.33","0.67","45.3","13"
"86","3","224","[W, N, SE, W, W]","118.33","0.67","45.3","13"
"87","3","226","[W, N, SE, W, W]","117.33","0.67","45.3","13"
"88","3","227","[W, N, SE, W, W]","119.67","0.67","45.3","13"
"89","3","228","[W, N, SE, W, W]","122.0","0.67","45.3","13"
"90","3","226","[W, N, SE, W, W]","127.67","0.67","45.3","13"
"91","3","225","[W, N, SE, W, W]","130.0","0.67","45.3","13"
"92","3","226","[W, N, SE, W, W]","132.33","0.67","45.3","13"
"93","3","229","[W, N, SE, W, W]","134.67","0.67","45.3","13"
"94","3","228","[W, N, SE, W, W]","137.0","0.67","45.3","13"
"95","3","229","[W, N, SE, W, W]","139.33","0.67","45.3","13"
"96","3","231","[W, N, SE, W, W]","141.67","0.67","45.3","13"
"97","3","229","[W, N, SE, W, W]","147.33","0.67","45.3","13"
"98","3","228","[W, N, SE, W, W]","153.0","0.67","45.3","13"
"99","3","228","[W, N, SE, W, W]","155.33","0.67","45.3","13"
"100","3","227","[W, N, SE, W, W]","161.0","0.67","45.3","13"
"101","3","228","[W, N, SE, W, W]","163.33","0.67","45.3","13"
"102","3","227","[W, N, SE, W, W]","165.67","0.67","45.3","13"
"103","3","228","[W, N, SE, W, W]","164.67","0.67","45.3","13"
"104","3","227","[W, N, SE, W, W]","167.0","0.67","45.3","13"
"105","3","230","[W, N, SE, W, W]","166.0","0.67","45.3","13"
"106","3","232","[W, N, SE, W, W]","168.33","0.67","45.3","13"
"107","2","233","[W, N, SE, W, W]","251.5","0.5","50.73","13"
"108","2","235","[W, N, SE, W, W]","250.5","0.5","50.73","13"
"109","2","235","[W, N, SE, W, W]","249.5","0.5","50.73","13"
"110","2","236","[W, N, SE, W, W]","248.5","0.5","50.73","13"
"111","2","238","[W, N, SE, W, W]","247.5","0.5","50.73","13"
"112","2","239","[W, N, SE, W, W]","246.5","0.5","50.73","13"
"113","2","241","[W, N, SE, W, W]","245.5","0.5","50.73","13"
"114","2","241","[W, N, SE, W, W]","254.5","0.5","50.73","13"
"115","2","241","[W, N, SE, W, W]","258.5","0.5","50.73","13"
"116","2","243","[W, N, SE, W, W]","257.5","0.5","50.73","13"
"117","2","245","[W, N, SE, W, W]","256.5","0.5","50.73","13"
"118","2","245","[W, N, SE, W, W]","260.5","0.5","50.73","13"
"119","2","247","[W, N, SE, W, W]","259.5","0.5","50.73","13"
"120","2","248","[W, N, SE, W, W]","258.5","0.5","50.73","13"
"121","2","249","[W, N, SE, W, W]","262.5","0.5","50.73","13"
"122","2","250","[W, N, SE, W, W]","261.5","0.5","50.73","13"
"123","2","250","[W, N, SE, W, W]","260.5","0.5","50.73","13"
"124","2","251","[W, N, SE, W, W]","259.5","0.5","50.73","13"
"125","2","252","[W, N, SE, W, W]","258.5","0.5","50.73","13"
"126","2","254","[W, N, SE, W, W]","257.5","0.5","50.73","13"
"127","2","254","[W, N, SE, W, W]","256.5","0.5","50.73","13"
"128","2","254","[W, N, SE, W, W]","260.5","0.5","50.73","13"
"129","2","258","[W, N, SE, W, W]","259.5","0.5","50.73","13"
"130","2","258","[W, N, SE, W, W]","263.5","0.5","50.73","13"
"131","2","260","[W, N, SE, W, W]","262.5","0.5","50.73","13"
"132","2","262","[W, N, SE, W, W]","261.5","0.5","50.73","13"
"133","2","264","[W, N, SE, W, W]","260.5","0.5","50.73","13"
"134","2","266","[W, N, SE, W, W]","259.5","0.5","50.73","13"
"135","2","268","[W, N, SE, W, W]","258.5","0.5","50.73","13"
"136","2","268","[W, N, SE, W, W]","257.5","0.5","50.73","13"
"137","2","268","[W, N, SE, W, W]","256.5","0.5","50.73","13"
"138","2","268","[W, N, SE, W, W]","260.5","0.5","50.73","13"
"139","2","271","[W, N, SE, W, W]","259.5","0.5","50.73","13"
"140","2","272","[W, N, SE, W, W]","258.5","0.5","50.73","13"
"141","2","272","[W, N, SE, W, W]","257.5","0.5","50.73","13"
"142","2","272","[W, N, SE, W, W]","261.5","0.5","50.73","13"
"143","2","273","[W, N, SE, W, W]","260.5","0.5","50.73","13"
"144","2","273","[W, N, SE, W, W]","264.5","0.5","50.73","13"
"145","2","273","[W, N, SE, W, W]","263.5","0.5","50.73","13"
"146","2","275","[W, N, SE, W, W]","262.5","0.5","50.73","13"
"147","2","277","[W, N, SE, W, W]","261.5","0.5","50.73","13"
